EnsemblID,GeneName,ID
ENSMUSG00000028689,Ccdc163,1453639_s_at
ENSMUSG00000028689,Ccdc163,1425043_s_at
ENSMUSG00000013483,Card14,1450142_a_at
ENSMUSG00000052192,Gm5963,1434358_x_at
ENSMUSG00000052192,Gm5963,1433549_x_at
ENSMUSG00000052192,Gm5963,1433721_x_at
ENSMUSG00000075289,Carns1,1427146_at
ENSMUSG00000094257,Ap3s1-ps2,1422593_at
ENSMUSG00000040197,Cd209e,1420582_at
ENSMUSG00000031170,Slc38a5,1454622_at
ENSMUSG00000032641,Gpr19,1421756_a_at
ENSMUSG00000032641,Gpr19,1445480_at
ENSMUSG00000031495,Cd209d,1426183_a_at
ENSMUSG00000027852,Nras,1454060_a_at
ENSMUSG00000027852,Nras,1422688_a_at
ENSMUSG00000027852,Nras,1422687_at
ENSMUSG00000034422,Parp14,1432548_at
ENSMUSG00000034422,Parp14,1451564_at
ENSMUSG00000038541,Srd5a2,1422960_at
ENSMUSG00000001482,Def8,1415853_at
ENSMUSG00000028676,Srsf10,1418527_a_at
ENSMUSG00000028676,Srsf10,1423982_at
ENSMUSG00000028676,Srsf10,1418526_at
ENSMUSG00000028676,Srsf10,1449121_at
ENSMUSG00000014426,Map3k4,1459800_s_at
ENSMUSG00000014426,Map3k4,1450253_a_at
ENSMUSG00000014426,Map3k4,1421450_a_at
ENSMUSG00000076928,Trac,1426168_a_at
ENSMUSG00000076928,Trac,1452405_x_at
ENSMUSG00000076928,Trac,1426113_x_at
ENSMUSG00000076928,Trac,1427653_at
ENSMUSG00000022174,Dad1,1454860_x_at
ENSMUSG00000022174,Dad1,1418528_a_at
ENSMUSG00000060647,Gm7099,1432426_a_at
ENSMUSG00000060647,Gm7099,1450275_x_at
ENSMUSG00000091845,Rpl36-ps12,1433510_x_at
ENSMUSG00000091845,Rpl36-ps12,1416520_x_at
ENSMUSG00000091845,Rpl36-ps12,1416519_at
ENSMUSG00000033029,1700088E04Rik,1422774_at
ENSMUSG00000021936,Mapk8,1440856_at
ENSMUSG00000021936,Mapk8,1457936_at
ENSMUSG00000021936,Mapk8,1420932_at
ENSMUSG00000021936,Mapk8,1420931_at
ENSMUSG00000021936,Mapk8,1446014_at
ENSMUSG00000021936,Mapk8,1437045_at
ENSMUSG00000048387,Osr1,1449350_at
ENSMUSG00000111942,Gm5182,1427595_at
ENSMUSG00000022906,Parp9,1416897_at
ENSMUSG00000000632,Sez6,1427674_a_at
ENSMUSG00000000632,Sez6,1420885_a_at
ENSMUSG00000099492,Gm5525,1417364_at
ENSMUSG00000017978,Cadps2,1451499_at
ENSMUSG00000020622,Nt5c1b,1427715_a_at
ENSMUSG00000042349,Ikbke,1417813_at
ENSMUSG00000027808,Serp1,1415827_a_at
ENSMUSG00000027808,Serp1,1415828_a_at
ENSMUSG00000002043,Trappc6a,1417034_at
ENSMUSG00000027552,E2f5,1417444_at
ENSMUSG00000027552,E2f5,1460207_s_at
ENSMUSG00000114277,Gm48583,1422660_at
ENSMUSG00000040385,Ppp1ca,1460165_at
ENSMUSG00000079705,Ssxb1,1449912_at
ENSMUSG00000056728,Ctsll3,1421684_at
ENSMUSG00000037797,Adh4,1422070_at
ENSMUSG00000060284,Sp7,1418425_at
ENSMUSG00000022905,Kpna1,1449504_at
ENSMUSG00000022905,Kpna1,1460260_s_at
ENSMUSG00000022905,Kpna1,1449505_at
ENSMUSG00000022905,Kpna1,1419548_at
ENSMUSG00000022905,Kpna1,1449503_at
ENSMUSG00000051403,Ppp1r37,1451403_at
ENSMUSG00000033020,Polr2f,1415754_at
ENSMUSG00000033020,Polr2f,1427402_at
ENSMUSG00000114432,Gm49391,1452352_at
ENSMUSG00000114432,Gm49391,1416811_s_at
ENSMUSG00000024824,Rad9a,1418404_at
ENSMUSG00000074874,Ctla2b,1452352_at
ENSMUSG00000074874,Ctla2b,1416811_s_at
ENSMUSG00000031342,Gpm6b,1425942_a_at
ENSMUSG00000031342,Gpm6b,1423091_a_at
ENSMUSG00000026031,Cflar,1425686_at
ENSMUSG00000026031,Cflar,1425687_at
ENSMUSG00000026031,Cflar,1424996_at
ENSMUSG00000026031,Cflar,1449317_at
ENSMUSG00000067212,H2-T23,1449556_at
ENSMUSG00000005043,Sgsh,1422988_at
ENSMUSG00000005043,Sgsh,1438731_at
ENSMUSG00000001280,Sp1,1448994_at
ENSMUSG00000001280,Sp1,1418180_at
ENSMUSG00000001280,Sp1,1454852_at
ENSMUSG00000062705,Tpbpb,1456246_x_at
ENSMUSG00000062705,Tpbpb,1416169_at
ENSMUSG00000033006,Sox10,1425369_a_at
ENSMUSG00000033006,Sox10,1451689_a_at
ENSMUSG00000033006,Sox10,1424985_a_at
ENSMUSG00000028675,Pnrc2,1416186_at
ENSMUSG00000028675,Pnrc2,1438766_at
ENSMUSG00000028675,Pnrc2,1416187_s_at
ENSMUSG00000044258,Ctla2a,1416811_s_at
ENSMUSG00000044258,Ctla2a,1448471_a_at
ENSMUSG00000046311,Zfp62,1425495_at
ENSMUSG00000046311,Zfp62,1451730_at
ENSMUSG00000040663,Clcf1,1437270_a_at
ENSMUSG00000040663,Clcf1,1437271_at
ENSMUSG00000040663,Clcf1,1450262_at
ENSMUSG00000059481,Plg,1416729_at
ENSMUSG00000003955,Fam162a,1451385_at
ENSMUSG00000062585,Cnr2,1453805_at
ENSMUSG00000062585,Cnr2,1450476_at
ENSMUSG00000062585,Cnr2,1437772_s_at
ENSMUSG00000117873,Gm45928,1427885_at
ENSMUSG00000028138,Adh5,1416185_a_at
ENSMUSG00000023047,Amhr2,1457021_x_at
ENSMUSG00000023047,Amhr2,1438967_x_at
ENSMUSG00000023047,Amhr2,1427989_at
ENSMUSG00000024854,Pold4,1427885_at
ENSMUSG00000028673,Fuca1,1416109_at
ENSMUSG00000028673,Fuca1,1456155_x_at
ENSMUSG00000028673,Fuca1,1437772_s_at
ENSMUSG00000075229,Ccdc58,1424465_at
ENSMUSG00000033834,Tpbpa,1415808_at
ENSMUSG00000033834,Tpbpa,1415809_at
